Name;Categories;Price tax excluded;Tax rules ID;Quantity;Description;Short description;Image URLs;Active
Urban Knit Classics Leeni Hoimela;Włóczki;159.00;1;10;Opis produktu Urban Knit Classics Leeni Hoimela.;Krótki opis Urban Knit Classics Leeni Hoimela.;https://miedzydrutami.pl/wp-content/uploads/2024/12/UrbanKnitClassics-Cozy-Publishing-370x444.webp;1
Pasek Hudson XL Muud;Włóczki;69.00;1;10;Opis produktu Pasek Hudson XL Muud.;Krótki opis Pasek Hudson XL Muud.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Muud-Hudson-XL-370x444.webp;1
Mouche and Friends: Seamless Toys to Knit and Love;Włóczki;139.00;1;10;Opis produktu Mouche and Friends: Seamless Toys to Knit and Love.;Krótki opis Mouche and Friends: Seamless Toys to Knit and Love.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Laine-Publishing-Mouche-and-friends-370x444.webp;1
52 Weeks of Accessories Laine Publishing;Włóczki;189.00;1;10;Opis produktu 52 Weeks of Accessories Laine Publishing.;Krótki opis 52 Weeks of Accessories Laine Publishing.;https://miedzydrutami.pl/wp-content/uploads/2024/12/52WeeksOfAccessories-laine-publishing-370x444.webp;1
Memory Lane: Embellished Knits to Cherish;Włóczki;139.00;1;10;Opis produktu Memory Lane: Embellished Knits to Cherish.;Krótki opis Memory Lane: Embellished Knits to Cherish.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Memory-Lane-Embellished-Knits-370x444.webp;1
Kalendarz dziewiarski Knitter’s Year 2025;Włóczki;119.00;1;10;Opis produktu Kalendarz dziewiarski Knitter’s Year 2025.;Krótki opis Kalendarz dziewiarski Knitter’s Year 2025.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Laine-KnittersYear2025-laine-publishing-1-370x444.webp;1
Torba Saturn Muud edycja limitowana;Włóczki;590.00;1;10;Opis produktu Torba Saturn Muud edycja limitowana.;Krótki opis Torba Saturn Muud edycja limitowana.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Muud-Saturn-Limited-Edition-Whisky-1-370x444.webp;1
PetiteKnit kosmetyczka z akcesoriami Night Sky;Włóczki;219.00;1;10;Opis produktu PetiteKnit kosmetyczka z akcesoriami Night Sky.;Krótki opis PetiteKnit kosmetyczka z akcesoriami Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-Knitters-Tool-Case-Night-Sky-370x444.webp;1
PetiteKnit Tote Bag Night Sky;Włóczki;109.00;1;10;Opis produktu PetiteKnit Tote Bag Night Sky.;Krótki opis PetiteKnit Tote Bag Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-Tote-Bag-torba-dla-dziewiarek-night-sky-370x444.jpg;1
PetiteKnit torba projektowa Night Sky;Włóczki;259.00;1;10;Opis produktu PetiteKnit torba projektowa Night Sky.;Krótki opis PetiteKnit torba projektowa Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-mala-torba-projektowa-370x444.jpg;1
PetiteKnit etui na druty i akcesoria Night Sky;Włóczki;189.00;1;10;Opis produktu PetiteKnit etui na druty i akcesoria Night Sky.;Krótki opis PetiteKnit etui na druty i akcesoria Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-etui-na-druty-i-akcesoria-2-370x444.jpg;1
On-Line błyszcząca włóczka z cekinami Linie 344 Starlight;Włóczki;24.00;1;10;Opis produktu On-Line błyszcząca włóczka z cekinami Linie 344 Starlight.;Krótki opis On-Line błyszcząca włóczka z cekinami Linie 344 Starlight.;https://miedzydrutami.pl/wp-content/uploads/2024/12/On-Line-Linie344-zloty-370x444.jpg;1
Woolly Hugs Glitter;Włóczki;19.90;1;10;Opis produktu Woolly Hugs Glitter.;Krótki opis Woolly Hugs Glitter.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Woolly-Hugs-Glitter-zloty-370x444.png;1
Gleener Ultimate golarka do dzianin;Włóczki;109.00;1;10;Opis produktu Gleener Ultimate golarka do dzianin.;Krótki opis Gleener Ultimate golarka do dzianin.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Gleener-golarka-do-dzianin-bez-baterii-370x444.webp;1
