Name;Categories;Price tax excluded;Tax rules ID;Quantity;Description;Short description;Image URLs;Active
Urban Knit Classics Leeni Hoimela;Włóczki;159.00;1;10;Opis produktu Urban Knit Classics Leeni Hoimela.;Krótki opis Urban Knit Classics Leeni Hoimela.;images/Urban_Knit_Classics_Leeni_Hoimela.jpg;1
Pasek Hudson XL Muud;Włóczki;69.00;1;10;Opis produktu Pasek Hudson XL Muud.;Krótki opis Pasek Hudson XL Muud.;images/Pasek_Hudson_XL_Muud.jpg;1
Mouche and Friends: Seamless Toys to Knit and Love;Włóczki;139.00;1;10;Opis produktu Mouche and Friends: Seamless Toys to Knit and Love.;Krótki opis Mouche and Friends: Seamless Toys to Knit and Love.;images/Mouche_and_Friends:_Seamless_Toys_to_Knit_and_Love.jpg;1
52 Weeks of Accessories Laine Publishing;Włóczki;189.00;1;10;Opis produktu 52 Weeks of Accessories Laine Publishing.;Krótki opis 52 Weeks of Accessories Laine Publishing.;images/52_Weeks_of_Accessories_Laine_Publishing.jpg;1
Memory Lane: Embellished Knits to Cherish;Włóczki;139.00;1;10;Opis produktu Memory Lane: Embellished Knits to Cherish.;Krótki opis Memory Lane: Embellished Knits to Cherish.;images/Memory_Lane:_Embellished_Knits_to_Cherish.jpg;1
Kalendarz dziewiarski Knitter’s Year 2025;Włóczki;119.00;1;10;Opis produktu Kalendarz dziewiarski Knitter’s Year 2025.;Krótki opis Kalendarz dziewiarski Knitter’s Year 2025.;images/Kalendarz_dziewiarski_Knitter’s_Year_2025.jpg;1
Torba Saturn Muud edycja limitowana;Włóczki;590.00;1;10;Opis produktu Torba Saturn Muud edycja limitowana.;Krótki opis Torba Saturn Muud edycja limitowana.;images/Torba_Saturn_Muud_edycja_limitowana.jpg;1
PetiteKnit kosmetyczka z akcesoriami Night Sky;Włóczki;219.00;1;10;Opis produktu PetiteKnit kosmetyczka z akcesoriami Night Sky.;Krótki opis PetiteKnit kosmetyczka z akcesoriami Night Sky.;images/PetiteKnit_kosmetyczka_z_akcesoriami_Night_Sky.jpg;1
PetiteKnit Tote Bag Night Sky;Włóczki;109.00;1;10;Opis produktu PetiteKnit Tote Bag Night Sky.;Krótki opis PetiteKnit Tote Bag Night Sky.;images/PetiteKnit_Tote_Bag_Night_Sky.jpg;1
PetiteKnit torba projektowa Night Sky;Włóczki;259.00;1;10;Opis produktu PetiteKnit torba projektowa Night Sky.;Krótki opis PetiteKnit torba projektowa Night Sky.;images/PetiteKnit_torba_projektowa_Night_Sky.jpg;1
PetiteKnit etui na druty i akcesoria Night Sky;Włóczki;189.00;1;10;Opis produktu PetiteKnit etui na druty i akcesoria Night Sky.;Krótki opis PetiteKnit etui na druty i akcesoria Night Sky.;images/PetiteKnit_etui_na_druty_i_akcesoria_Night_Sky.jpg;1
On-Line błyszcząca włóczka z cekinami Linie 344 Starlight;Włóczki;24.00;1;10;Opis produktu On-Line błyszcząca włóczka z cekinami Linie 344 Starlight.;Krótki opis On-Line błyszcząca włóczka z cekinami Linie 344 Starlight.;images/On-Line_błyszcząca_włóczka_z_cekinami_Linie_344_Starlight.jpg;1
Woolly Hugs Glitter;Włóczki;19.90;1;10;Opis produktu Woolly Hugs Glitter.;Krótki opis Woolly Hugs Glitter.;images/Woolly_Hugs_Glitter.jpg;1
Gleener Ultimate golarka do dzianin;Włóczki;109.00;1;10;Opis produktu Gleener Ultimate golarka do dzianin.;Krótki opis Gleener Ultimate golarka do dzianin.;images/Gleener_Ultimate_golarka_do_dzianin.jpg;1
Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg;Włóczki;189.00;1;10;Opis produktu Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg.;Krótki opis Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg.;images/Knits_To_Wear:_Effortless_Patterns_KutovaKika_Veronika_Lindberg.jpg;1
Knit This KutovaKika Veronika Lindberg;Włóczki;159.00;1;10;Opis produktu Knit This KutovaKika Veronika Lindberg.;Krótki opis Knit This KutovaKika Veronika Lindberg.;images/Knit_This_KutovaKika_Veronika_Lindberg.jpg;1
Knitting Life 3 Isager;Włóczki;199.00;1;10;Opis produktu Knitting Life 3 Isager.;Krótki opis Knitting Life 3 Isager.;images/Knitting_Life_3_Isager.jpg;1
Peer Winter Sweater zestaw wzór z włóczką;Włóczki;278.90;1;10;Opis produktu Peer Winter Sweater zestaw wzór z włóczką.;Krótki opis Peer Winter Sweater zestaw wzór z włóczką.;images/Peer_Winter_Sweater_zestaw_wzór_z_włóczką.jpg;1
Tibetan Pascuali;Włóczki;82.00;1;10;Opis produktu Tibetan Pascuali.;Krótki opis Tibetan Pascuali.;images/Tibetan_Pascuali.jpg;1
Milano Sweater wzór na druty z włóczką;Włóczki;234.00;1;10;Opis produktu Milano Sweater wzór na druty z włóczką.;Krótki opis Milano Sweater wzór na druty z włóczką.;images/Milano_Sweater_wzór_na_druty_z_włóczką.jpg;1
